,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
142,0.264,1,0.396,5,-6.823,0.0294,0.869,0.0,0.193,0.372,77.949,284238,462WpZ67nBcpboTjHGgNMK,Xe Đạp,Thùy Chi,The Best Of Thùy Chi 3,462WpZ67nBcpboTjHGgNMK
143,0.628,1,0.377,7,-7.099,0.0311,0.733,2.31e-06,0.246,0.365,127.912,277792,6TBk6L8ATQGoAUjRS6q4uK,Co Dieu Gi Sao Khong Noi Cung Anh,Trung Quân,Co Dieu Gi Sao Khong Noi Cung Anh,6TBk6L8ATQGoAUjRS6q4uK
144,0.737,1,0.65,2,-6.634,0.0319,0.531,2.11e-05,0.354,0.482,126.029,274261,3ex7tFhqkHpvGKrN9bEuwd,Dua Em Di Khap The Gian,Bich Phuong,Dua Em Di Khap The Gian,3ex7tFhqkHpvGKrN9bEuwd
145,0.862,1,0.786,0,-4.711,0.0392,0.0771,0.0,0.145,0.817,105.004,211169,0Fwq3ieecY5eYN8RopT96F,1 2 3 4,Chi Dan,1 2 3 4,0Fwq3ieecY5eYN8RopT96F
146,0.588,0,0.43,10,-5.578,0.033,0.79,0.0,0.104,0.326,129.936,282681,2QU7o6iHJ64pm0oxPhrcfJ,Ket Thuc Ngo Ngac,Vuong Anh Tu,Ket Thuc Ngo Ngac,2QU7o6iHJ64pm0oxPhrcfJ
147,0.601,0,0.44,9,-6.215,0.0276,0.844,0.0,0.0918,0.41,89.909,293251,2pgcpr09X5qav3jIOqfyrp,,Various Artists,,2pgcpr09X5qav3jIOqfyrp
148,0.587,1,0.426,5,-9.574,0.0382,0.761,0.0,0.109,0.469,79.967,261105,1xSYBj6IbFfCCcTFZP3NOY,Da Lo Yeu Em Nhieu,JustaTee,Da Lo Yeu Em Nhieu,1xSYBj6IbFfCCcTFZP3NOY
149,0.717,0,0.701,0,-4.244,0.0619,0.608,1.29e-05,0.277,0.374,111.975,278367,2AuXWMcspoln27vP5A9yQo,Noi Thuong Nhau Thi Dung Lam Trai Tim Em Dau,Bich Phuong,Noi Thuong Nhau Thi Dung Lam Trai Tim Em Dau,2AuXWMcspoln27vP5A9yQo
150,0.679,0,0.529,0,-9.345,0.0893,0.714,0.0,0.102,0.353,95.111,240065,4ynOH5XfxYw8LCH4ToG3Jv,Yeu 5,Rhymastic,Yeu 5,4ynOH5XfxYw8LCH4ToG3Jv
151,0.646,0,0.556,6,-7.055,0.0385,0.0854,0.000693,0.374,0.86,120.056,258000,1PgMKkHb6w1RdGhocmXS4d,Day Dream,SOOBIN,The Remix 2016,1PgMKkHb6w1RdGhocmXS4d
